Dataset,Folder,File,F1,TP,FP,FN,Time
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450769700,0.8,2,0,1,0.8698740005493164
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451195100,0.8,2,0,1,0.878411054611206
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451220600,0.8,2,0,1,0.8824241161346436
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451043300,0.8,2,0,1,0.890017032623291
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450866900,0.8,2,0,1,0.9315500259399414
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450876800,1.0,3,0,0,1.2689096927642822
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450779000,1.0,3,0,0,1.2848727703094482
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450870500,1.0,3,0,0,1.2910850048065186
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450697700,1.0,3,0,0,1.2963438034057617
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450939200,1.0,3,0,0,1.2962908744812012
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450768560,0.8,2,0,1,0.8271081447601318
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451047800,0.8,2,0,1,0.8571820259094238
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451168100,0.8,2,0,1,0.8583858013153076
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450689300,0.8,2,0,1,0.8697018623352051
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451149500,0.8,2,0,1,0.8904068470001221
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450666800,1.0,3,0,0,1.2492711544036865
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451042400,0.8,2,0,1,0.8839519023895264
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451188800,1.0,3,0,0,1.2593719959259033
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451038740,1.0,3,0,0,1.2696967124938965
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450698060,1.0,3,0,0,1.7136659622192383
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451040000,0.8,2,0,1,0.9190771579742432
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451170500,0.8,2,0,1,0.9210612773895264
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451186100,1.0,3,0,0,1.2475521564483643
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451079000,0.8,2,0,1,0.8782107830047607
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451022300,0.8,2,0,1,0.8455832004547119
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451202300,0.5,1,0,2,0.9220387935638428
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451198400,0.8,2,0,1,0.7957127094268799
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451031900,0.8,2,0,1,0.8074638843536377
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451212500,1.0,3,0,0,1.2264633178710938
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451107200,0.8,2,0,1,0.8044300079345703
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451103300,1.0,3,0,0,1.2082040309906006
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451120700,1.0,3,0,0,1.1972579956054688
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451205000,0.8,2,0,1,0.7988009452819824
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451098320,0.8,2,0,1,0.8221580982208252
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450752600,1.0,3,0,0,1.2025232315063477
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450736700,1.0,3,0,0,1.2062342166900635
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450692600,0.8,2,0,1,1.2416110038757324
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450667700,1.0,3,0,0,1.1974341869354248
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451197140,1.0,3,0,0,1.2085750102996826
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451199000,1.0,3,0,0,1.1902751922607422
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451200800,0.8,2,0,1,0.832866907119751
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450944000,0.8,2,0,1,0.8134491443634033
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450846200,0.8,2,0,1,0.8057041168212891
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450698900,0.8,2,0,1,0.8043029308319092
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450760100,1.0,3,0,0,1.2096569538116455
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451114100,1.0,3,0,0,1.1721010208129883
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450960800,1.0,3,0,0,1.1764860153198242
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451194500,1.0,3,0,0,1.16957688331604
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451110500,1.0,3,0,0,1.1627569198608398
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451118000,1.0,3,0,0,1.1562488079071045
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451025000,1.0,3,0,0,1.1739177703857422
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450934400,1.0,3,0,0,1.5975620746612549
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450976700,1.0,3,0,0,1.1633129119873047
