Dataset,Folder,File,F1,TP,FP,FN,Time
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451040000,0.5,1,0,2,21.037216901779175
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450962000,0.0,0,1,3,21.08420991897583
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451199000,0.5,1,0,2,21.122833013534546
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451109300,0.5,1,0,2,21.134175062179565
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450939200,0.5,1,0,2,21.145920991897583
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451170500,0.0,0,1,3,21.193026065826416
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451216700,0.0,0,1,3,21.550979137420654
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451019300,0.5,1,0,2,32.39490985870361
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451205000,0.5,1,0,2,32.65279698371887
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450698900,0.5,1,0,2,33.51904106140137
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451031900,0.5,1,0,2,22.907416105270386
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451195100,0.5,1,0,2,23.05861186981201
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451198400,0.5,1,0,2,22.782254934310913
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451030400,0.5,1,0,2,27.374783992767334
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450857000,0.5,1,0,2,30.645753860473633
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451043300,0.5,1,0,2,22.724613904953003
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450894200,0.0,0,1,3,22.853698015213013
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450684200,0.5,1,0,2,22.72683310508728
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450944000,0.5,1,0,2,35.19749712944031
