Dataset,Folder,File,F1,TP,FP,FN,Time
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450765200,0.0,0,0,3,0.11701798439025879
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451222400,0.0,0,0,3,0.11496090888977051
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450938600,0.0,0,0,3,0.11007380485534668
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450960800,0.0,0,0,3,0.11254596710205078
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450943160,0.0,0,0,3,0.1140601634979248
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450821000,0.0,0,0,3,0.11702919006347656
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450689300,0.0,0,0,3,0.11624789237976074
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451149500,0.0,0,0,3,0.12511277198791504
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450667700,0.0,0,0,3,0.11864113807678223
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451212500,0.0,0,0,3,0.10912275314331055
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450843800,0.0,0,0,3,0.11681103706359863
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450824000,0.0,0,0,3,0.11170196533203125
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451107200,0.0,0,0,3,0.12230896949768066
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450866900,0.0,0,0,3,0.12272381782531738
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451038740,0.0,0,0,3,0.12600421905517578
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450992300,0.0,0,0,3,0.13006186485290527
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451022300,0.0,0,0,3,0.1266307830810547
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451098320,0.0,0,0,3,0.09838485717773438
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451195100,0.5,1,0,2,0.4124641418457031
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451019300,0.0,0,0,3,0.11231017112731934
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451132400,0.0,0,0,3,0.10204696655273438
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451030400,0.0,0,0,3,0.09938526153564453
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450871400,0.0,0,0,3,0.1009218692779541
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450666800,0.5,1,0,2,0.2767348289489746
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451188800,0.0,0,0,3,0.10633230209350586
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451046600,0.0,0,0,3,0.10237598419189453
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451103900,0.0,0,0,3,0.10477733612060547
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450769700,0.0,0,0,3,0.11032509803771973
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450698900,0.0,0,0,3,0.11053681373596191
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451109300,0.5,1,0,2,0.2830159664154053
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450926600,0.0,0,0,3,0.11356186866760254
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450925400,0.0,0,0,3,0.1192941665649414
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451025000,0.0,0,0,3,0.1307077407836914
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450697700,0.0,0,1,3,0.5104150772094727
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451201640,0.0,0,2,3,0.43443918228149414
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450939200,0.5,1,0,2,0.28699588775634766
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451190000,0.0,0,0,3,0.09894013404846191
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450936200,0.0,0,1,3,0.2018899917602539
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451220600,0.0,0,2,3,0.6741068363189697
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451200800,0.0,0,0,3,0.11314892768859863
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451216700,0.0,0,1,3,0.7322309017181396
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451134800,0.5,1,0,2,0.27521514892578125
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451199000,0.0,0,2,3,0.5299768447875977
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450846200,0.0,0,1,3,0.2128458023071289
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451202300,0.0,0,0,3,0.11552190780639648
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450685460,0.0,0,0,3,0.12016987800598145
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451103300,0.0,0,0,3,0.10343813896179199
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451043300,0.5,1,0,2,0.2698938846588135
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450911300,0.5,1,0,2,0.43930792808532715
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451042400,0.0,0,0,3,0.11104583740234375
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450753500,0.0,0,0,3,0.133620023727417
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450962000,0.0,0,0,3,0.13492894172668457
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450910100,0.0,0,0,3,0.13199591636657715
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451205000,0.0,0,0,3,0.12334704399108887
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450752600,0.5,1,0,2,0.2817199230194092
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450736700,0.0,0,0,3,0.11245918273925781
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451040000,0.0,0,0,3,0.09992814064025879
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451044500,0.0,0,1,3,0.43248891830444336
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451114100,0.0,0,0,3,0.10609674453735352
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450934400,0.0,0,0,3,0.10528087615966797
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451124000,0.0,0,1,3,0.3143441677093506
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451198400,0.0,0,0,3,0.0940396785736084
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450873800,0.0,0,0,3,0.09846210479736328
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450851600,0.0,0,1,3,0.7362861633300781
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450757400,0.0,0,0,3,0.10576891899108887
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450857000,0.5,1,0,2,0.44859886169433594
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451079000,0.0,0,0,3,0.10215878486633301
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451207400,0.0,0,0,3,0.10147595405578613
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451124900,0.0,0,0,3,0.10419392585754395
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450682040,0.0,0,0,3,0.10704302787780762
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450692600,0.0,0,0,3,0.10030102729797363
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451031000,0.0,0,0,3,0.094696044921875
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450876800,0.0,0,0,3,0.09017181396484375
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451211600,0.0,0,0,3,0.09555816650390625
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450768560,0.0,0,0,3,0.10385632514953613
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451040600,0.0,0,0,3,0.10934710502624512
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451120700,0.0,0,0,3,0.09512090682983398
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450894200,0.0,0,1,3,0.28412818908691406
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451194500,0.0,0,1,3,0.7144119739532471
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450698060,0.0,0,0,3,0.10794806480407715
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450870500,0.5,1,0,2,0.39740514755249023
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451225100,0.0,0,0,3,0.11832499504089355
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451020800,0.0,0,0,3,0.12870097160339355
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451047800,0.0,0,0,3,0.10447120666503906
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450760100,0.5,1,0,2,0.2573850154876709
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451112600,0.0,0,0,3,0.10140585899353027
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451168100,0.0,0,0,3,0.09863114356994629
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451170500,0.0,0,0,3,0.10736989974975586
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451186100,0.0,0,1,3,0.6865401268005371
