Dataset,Folder,File,F1,TP,FP,FN,Time
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451079000,1.0,3,0,0,1.4231059551239014
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451186100,1.0,3,0,0,1.5234100818634033
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451040000,1.0,3,0,0,1.5728402137756348
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451222400,1.0,3,0,0,1.6787729263305664
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451043300,1.0,3,0,0,1.7710578441619873
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451030400,1.0,3,0,0,1.817586898803711
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451114100,1.0,3,0,0,1.8145129680633545
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451225100,1.0,3,0,0,1.8176939487457275
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451109300,1.0,3,0,0,1.8636260032653809
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450962000,1.0,3,0,0,1.9372711181640625
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451134800,0.8,2,0,1,1.939441204071045
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451110500,1.0,3,0,0,1.977079153060913
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450992300,1.0,3,0,0,2.1286990642547607
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451212500,1.0,3,0,0,2.143296957015991
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451205000,1.0,3,0,0,2.501229763031006
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450846200,1.0,3,0,0,2.63713002204895
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450894200,0.6666666666666666,2,1,1,2.6555769443511963
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451216700,0.8,2,0,1,1.128568172454834
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451188800,1.0,3,0,0,1.6356189250946045
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451199000,1.0,3,0,0,1.6413261890411377
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450769700,1.0,3,0,0,1.7949581146240234
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450653900,1.0,3,0,0,1.559142827987671
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451031000,1.0,3,0,0,1.750607967376709
encrypted_B3,B_cuboid_layer_2_n_ele_3,1450871400,1.0,3,0,0,1.7616357803344727
encrypted_B3,B_cuboid_layer_2_n_ele_3,1451194500,1.0,3,0,0,1.8544800281524658
